uik,lat,lon
516,55.188586,61.443382
517,55.184983,61.436726
518,55.184983,61.436726
519,55.184983,61.436726
520,55.182613,61.432773
521,55.181606,61.421849
522,55.181606,61.421849
523,55.185867,61.422308
524,55.185867,61.422308
525,55.191855,61.412498
526,55.191855,61.412498
527,55.181678,61.415642
528,55.181678,61.415642
529,55.190642,61.394199
530,55.190642,61.394199
531,55.187522,61.403272
532,55.187522,61.403272
533,55.181914,61.403479
534,55.181914,61.403479
535,55.181914,61.403479
536,55.176419,61.40444
537,55.176419,61.40444
538,55.175247,61.403856
539,55.178352,61.398682
540,55.177622,61.395861
541,55.183734,61.394999
542,55.180033,61.390911
543,55.180033,61.390911
544,55.180033,61.390911
545,55.181611,61.377374
546,55.181611,61.377374
547,55.182881,61.361159
548,55.181215,61.348718
549,55.177519,61.36628
550,55.177519,61.36628
551,55.176475,61.34817
552,55.176475,61.34817
553,55.176475,61.34817
554,55.176475,61.34817
555,55.176239,61.342169
556,55.176239,61.342169
557,55.176517,61.337138
558,55.176517,61.337138
559,55.183235,61.33394
560,55.183235,61.33394
561,55.188142,61.337376
562,55.186222,61.328604
563,55.186222,61.328604
564,55.186222,61.328604
565,55.183431,61.328317
566,55.180475,61.328191
567,55.180475,61.328191
568,55.181082,61.311896
569,55.181082,61.311896
570,55.181082,61.311896
571,55.181082,61.311896
572,55.178414,61.302643
573,55.178414,61.302643
574,55.178414,61.302643
575,55.178414,61.302643
576,55.183004,61.299589
577,55.183004,61.299589
578,55.183004,61.299589
579,55.180969,61.299337
580,55.178115,61.286554
581,55.178115,61.286554
582,55.178115,61.286554
583,55.178115,61.286554
584,55.173632,61.29719
585,55.173632,61.29719
586,55.173632,61.29719
587,55.173632,61.29719
589,55.181215,61.348718
2252,55.186417,61.444478
2280,55.180969,61.299337
2281,55.179565,61.293247
2402,55.176501,61.318759
2403,55.176501,61.318759
2409,55.176501,61.318759
2410,55.168146,61.284129
2431,55.168146,61.284129